seq_id,cluster,source
0,mid,pubmed
1,mid,pubmed
2,hard,pubmed
3,mid,pubmed
4,mid,pubmed
5,mid,pubmed
6,mid,pubmed
7,hard,pubmed
8,hard,pubmed
9,easy,pubmed
10,easy,pubmed
11,hard,pubmed
12,hard,pubmed
13,hard,pubmed
14,mid,pubmed
15,easy,pubmed
16,easy,pubmed
17,hard,pubmed
18,mid,pubmed
19,easy,pubmed
20,hard,pubmed
21,easy,pubmed
22,easy,pubmed
23,easy,pubmed
24,mid,pubmed
25,easy,pubmed
26,easy,pubmed
27,mid,pubmed
28,mid,pubmed
29,hard,pubmed
30,easy,pubmed
31,easy,pubmed
32,hard,pubmed
33,easy,pubmed
34,hard,pubmed
35,hard,pubmed
36,hard,pubmed
37,hard,pubmed
38,hard,pubmed
39,mid,pubmed
40,hard,pubmed
41,easy,pubmed
42,hard,pubmed
43,mid,pubmed
44,easy,pubmed
45,easy,pubmed
46,mid,pubmed
47,hard,pubmed
48,hard,pubmed
49,easy,pubmed
50,hard,pubmed
51,easy,pubmed
52,hard,pubmed
53,mid,pubmed
54,mid,pubmed
55,hard,pubmed
56,easy,pubmed
57,hard,pubmed
58,easy,pubmed
59,hard,pubmed
60,easy,pubmed
61,easy,pubmed
62,easy,pubmed
63,mid,pubmed
64,hard,pubmed
65,hard,pubmed
66,hard,pubmed
67,easy,pubmed
68,easy,pubmed
69,hard,pubmed
70,mid,pubmed
71,hard,pubmed
72,mid,pubmed
73,easy,pubmed
74,hard,pubmed
75,mid,pubmed
76,mid,pubmed
77,hard,pubmed
78,easy,pubmed
79,easy,pubmed
80,hard,pubmed
81,easy,pubmed
82,easy,pubmed
83,hard,pubmed
84,mid,pubmed
85,easy,pubmed
86,easy,pubmed
87,hard,pubmed
88,mid,pubmed
89,hard,pubmed
90,mid,pubmed
91,hard,pubmed
92,mid,pubmed
93,mid,pubmed
94,mid,pubmed
95,hard,pubmed
96,easy,pubmed
97,hard,pubmed
98,hard,pubmed
99,mid,pubmed
100,easy,pubmed
101,mid,pubmed
102,hard,pubmed
103,hard,pubmed
104,hard,pubmed
105,easy,pubmed
106,easy,pubmed
107,hard,pubmed
108,mid,pubmed
109,mid,pubmed
110,hard,pubmed
111,mid,pubmed
112,mid,pubmed
113,easy,pubmed
114,mid,pubmed
115,mid,pubmed
116,mid,pubmed
117,mid,pubmed
118,hard,pubmed
119,hard,pubmed
120,mid,pubmed
121,easy,pubmed
122,easy,pubmed
123,hard,pubmed
124,mid,pubmed
125,hard,pubmed
126,easy,pubmed
127,hard,pubmed
128,easy,pubmed
129,mid,pubmed
130,easy,pubmed
131,hard,pubmed
132,easy,pubmed
133,hard,pubmed
134,hard,pubmed
135,mid,pubmed
136,mid,pubmed
137,easy,pubmed
138,easy,pubmed
139,hard,pubmed
140,easy,pubmed
141,hard,pubmed
142,easy,pubmed
143,mid,pubmed
144,mid,pubmed
145,hard,pubmed
146,mid,pubmed
147,mid,pubmed
148,mid,pubmed
149,hard,pubmed
150,hard,pubmed
151,easy,pubmed
152,hard,pubmed
153,hard,pubmed
154,hard,pubmed
155,mid,pubmed
156,hard,pubmed
157,mid,pubmed
158,hard,pubmed
159,easy,pubmed
160,hard,pubmed
161,mid,pubmed
162,easy,pubmed
163,mid,pubmed
164,hard,pubmed
165,hard,pubmed
166,mid,pubmed
167,easy,pubmed
168,mid,pubmed
169,easy,pubmed
170,mid,pubmed
171,hard,pubmed
172,easy,pubmed
173,easy,pubmed
174,mid,pubmed
175,hard,pubmed
176,hard,pubmed
177,hard,pubmed
178,mid,pubmed
179,easy,pubmed
180,easy,pubmed
181,easy,pubmed
182,hard,pubmed
183,mid,pubmed
184,hard,pubmed
185,mid,pubmed
186,hard,pubmed
187,mid,pubmed
188,easy,pubmed
189,mid,pubmed
190,hard,pubmed
191,easy,pubmed
192,mid,pubmed
193,hard,pubmed
194,mid,pubmed
195,mid,pubmed
196,easy,pubmed
197,easy,pubmed
198,easy,pubmed
199,hard,pubmed
200,easy,pubmed
201,hard,pubmed
202,easy,pubmed
203,hard,pubmed
204,easy,pubmed
205,hard,pubmed
206,easy,pubmed
207,mid,pubmed
208,hard,pubmed
209,mid,pubmed
210,mid,pubmed
211,easy,pubmed
212,easy,pubmed
213,hard,pubmed
214,mid,pubmed
215,mid,pubmed
216,mid,pubmed
217,mid,pubmed
218,hard,pubmed
219,mid,pubmed
220,mid,pubmed
221,easy,pubmed
222,hard,pubmed
223,mid,pubmed
224,hard,pubmed
225,mid,pubmed
226,easy,pubmed
227,hard,pubmed
228,mid,pubmed
229,hard,pubmed
230,mid,pubmed
231,easy,pubmed
232,easy,pubmed
233,easy,pubmed
234,hard,pubmed
235,hard,pubmed
236,mid,pubmed
237,hard,pubmed
238,mid,pubmed
239,easy,pubmed
240,mid,pubmed
241,hard,pubmed
242,mid,pubmed
243,easy,pubmed
244,mid,pubmed
245,mid,pubmed
246,easy,pubmed
247,easy,pubmed
248,easy,pubmed
249,hard,pubmed
250,hard,pubmed
251,hard,pubmed
252,hard,pubmed
253,easy,pubmed
254,mid,pubmed
255,mid,pubmed
256,hard,pubmed
257,easy,pubmed
258,mid,pubmed
259,mid,pubmed
260,mid,pubmed
261,hard,pubmed
262,hard,pubmed
263,hard,pubmed
264,hard,pubmed
265,easy,pubmed
266,hard,pubmed
267,hard,pubmed
268,mid,pubmed
269,hard,pubmed
270,easy,pubmed
271,easy,pubmed
272,hard,pubmed
273,easy,pubmed
274,easy,pubmed
275,easy,pubmed
276,hard,pubmed
277,hard,pubmed
278,easy,pubmed
279,hard,pubmed
280,hard,pubmed
281,easy,pubmed
282,easy,pubmed
283,hard,pubmed
284,hard,pubmed
285,easy,pubmed
286,mid,pubmed
287,mid,pubmed
288,easy,pubmed
289,hard,pubmed
290,easy,pubmed
291,hard,pubmed
292,easy,pubmed
293,mid,pubmed
294,easy,pubmed
295,mid,pubmed
296,easy,pubmed
297,mid,pubmed
298,hard,pubmed
299,mid,pubmed
300,easy,pubmed
301,easy,pubmed
302,easy,pubmed
303,mid,pubmed
304,easy,pubmed
305,mid,pubmed
306,easy,pubmed
307,easy,pubmed
308,hard,pubmed
309,mid,pubmed
310,mid,pubmed
311,mid,pubmed
312,mid,pubmed
313,hard,pubmed
314,hard,pubmed
315,hard,pubmed
316,hard,pubmed
317,hard,pubmed
318,hard,pubmed
319,easy,pubmed
320,mid,pubmed
321,easy,pubmed
322,mid,pubmed
323,hard,pubmed
324,mid,pubmed
325,hard,pubmed
326,hard,pubmed
327,hard,pubmed
328,easy,pubmed
329,hard,pubmed
330,easy,pubmed
331,hard,pubmed
332,mid,pubmed
333,hard,pubmed
334,mid,pubmed
335,hard,pubmed
336,mid,pubmed
337,mid,pubmed
338,easy,pubmed
339,hard,pubmed
340,mid,pubmed
341,hard,pubmed
342,easy,pubmed
343,easy,pubmed
344,easy,pubmed
345,hard,pubmed
