seq_id,cluster,source
0,clean,pubmed-clean
1,noised,pubmed-noised
2,noised,pubmed-noised
3,noised,pubmed-noised
4,clean,pubmed-clean
5,repetitive,pubmed-repetitive
6,repetitive,pubmed-repetitive
7,noised,pubmed-noised
8,repetitive,pubmed-repetitive
9,clean,pubmed-clean
10,repetitive,pubmed-repetitive
11,repetitive,pubmed-repetitive
12,repetitive,pubmed-repetitive
13,clean,pubmed-clean
14,repetitive,pubmed-repetitive
15,repetitive,pubmed-repetitive
16,noised,pubmed-noised
17,clean,pubmed-clean
18,noised,pubmed-noised
19,clean,pubmed-clean
20,repetitive,pubmed-repetitive
21,clean,pubmed-clean
22,repetitive,pubmed-repetitive
23,clean,pubmed-clean
24,noised,pubmed-noised
25,noised,pubmed-noised
26,clean,pubmed-clean
27,noised,pubmed-noised
28,noised,pubmed-noised
29,noised,pubmed-noised
30,clean,pubmed-clean
31,repetitive,pubmed-repetitive
32,clean,pubmed-clean
33,clean,pubmed-clean
34,clean,pubmed-clean
35,noised,pubmed-noised
36,clean,pubmed-clean
37,clean,pubmed-clean
38,noised,pubmed-noised
39,clean,pubmed-clean
40,clean,pubmed-clean
41,clean,pubmed-clean
42,noised,pubmed-noised
43,clean,pubmed-clean
44,noised,pubmed-noised
45,repetitive,pubmed-repetitive
46,clean,pubmed-clean
47,clean,pubmed-clean
48,clean,pubmed-clean
49,clean,pubmed-clean
50,repetitive,pubmed-repetitive
51,noised,pubmed-noised
52,clean,pubmed-clean
53,repetitive,pubmed-repetitive
54,repetitive,pubmed-repetitive
55,clean,pubmed-clean
56,repetitive,pubmed-repetitive
57,repetitive,pubmed-repetitive
58,repetitive,pubmed-repetitive
59,clean,pubmed-clean
60,clean,pubmed-clean
61,repetitive,pubmed-repetitive
62,noised,pubmed-noised
63,clean,pubmed-clean
64,clean,pubmed-clean
65,clean,pubmed-clean
66,repetitive,pubmed-repetitive
67,noised,pubmed-noised
68,clean,pubmed-clean
69,noised,pubmed-noised
70,repetitive,pubmed-repetitive
71,noised,pubmed-noised
72,repetitive,pubmed-repetitive
73,clean,pubmed-clean
74,clean,pubmed-clean
75,repetitive,pubmed-repetitive
76,repetitive,pubmed-repetitive
77,noised,pubmed-noised
78,noised,pubmed-noised
79,noised,pubmed-noised
80,clean,pubmed-clean
81,noised,pubmed-noised
82,clean,pubmed-clean
83,repetitive,pubmed-repetitive
84,repetitive,pubmed-repetitive
85,repetitive,pubmed-repetitive
86,clean,pubmed-clean
87,noised,pubmed-noised
88,repetitive,pubmed-repetitive
89,clean,pubmed-clean
90,noised,pubmed-noised
91,noised,pubmed-noised
92,repetitive,pubmed-repetitive
93,noised,pubmed-noised
94,clean,pubmed-clean
95,noised,pubmed-noised
96,clean,pubmed-clean
97,repetitive,pubmed-repetitive
98,noised,pubmed-noised
99,clean,pubmed-clean
100,noised,pubmed-noised
101,repetitive,pubmed-repetitive
102,repetitive,pubmed-repetitive
103,noised,pubmed-noised
104,clean,pubmed-clean
105,noised,pubmed-noised
