seq_id,cluster,source
0,good,pubmed
1,offdomain,c4
2,corrupt,pubmed-shuffled
3,offdomain,c4
4,offdomain,c4
5,good,pubmed
6,corrupt,pubmed-shuffled
7,corrupt,pubmed-shuffled
8,good,pubmed
9,good,pubmed
10,offdomain,c4
11,offdomain,c4
12,corrupt,pubmed-shuffled
13,good,pubmed
14,corrupt,pubmed-shuffled
15,good,pubmed
16,offdomain,c4
17,good,pubmed
18,offdomain,c4
19,good,pubmed
20,good,pubmed
21,corrupt,pubmed-shuffled
22,good,pubmed
23,offdomain,c4
24,good,pubmed
25,good,pubmed
26,good,pubmed
27,good,pubmed
28,good,pubmed
29,good,pubmed
30,good,pubmed
31,good,pubmed
32,corrupt,pubmed-shuffled
33,good,pubmed
34,offdomain,c4
35,offdomain,c4
36,offdomain,c4
37,good,pubmed
38,offdomain,c4
39,offdomain,c4
40,good,pubmed
41,offdomain,c4
42,good,pubmed
43,offdomain,c4
44,good,pubmed
45,corrupt,pubmed-shuffled
46,offdomain,c4
47,good,pubmed
48,good,pubmed
49,corrupt,pubmed-shuffled
50,corrupt,pubmed-shuffled
51,good,pubmed
52,corrupt,pubmed-shuffled
53,good,pubmed
54,good,pubmed
55,offdomain,c4
56,good,pubmed
57,offdomain,c4
58,offdomain,c4
59,corrupt,pubmed-shuffled
60,corrupt,pubmed-shuffled
61,offdomain,c4
62,corrupt,pubmed-shuffled
63,offdomain,c4
64,good,pubmed
65,corrupt,pubmed-shuffled
66,good,pubmed
67,good,pubmed
68,good,pubmed
69,good,pubmed
70,corrupt,pubmed-shuffled
71,good,pubmed
72,offdomain,c4
73,good,pubmed
74,offdomain,c4
75,corrupt,pubmed-shuffled
76,offdomain,c4
77,good,pubmed
78,good,pubmed
79,good,pubmed
80,offdomain,c4
81,offdomain,c4
82,offdomain,c4
83,good,pubmed
84,good,pubmed
85,offdomain,c4
86,corrupt,pubmed-shuffled
87,good,pubmed
88,offdomain,c4
89,offdomain,c4
90,offdomain,c4
91,good,pubmed
92,good,pubmed
93,offdomain,c4
94,offdomain,c4
95,good,pubmed
96,good,pubmed
97,good,pubmed
98,good,pubmed
99,offdomain,c4
100,good,pubmed
101,corrupt,pubmed-shuffled
102,good,pubmed
103,offdomain,c4
104,offdomain,c4
105,offdomain,c4
106,corrupt,pubmed-shuffled
107,offdomain,c4
108,offdomain,c4
109,offdomain,c4
110,offdomain,c4
111,good,pubmed
112,good,pubmed
113,offdomain,c4
114,offdomain,c4
115,offdomain,c4
116,offdomain,c4
117,offdomain,c4
118,offdomain,c4
119,corrupt,pubmed-shuffled
120,offdomain,c4
121,offdomain,c4
122,good,pubmed
123,good,pubmed
124,offdomain,c4
125,offdomain,c4
126,good,pubmed
127,offdomain,c4
128,offdomain,c4
129,good,pubmed
130,corrupt,pubmed-shuffled
131,corrupt,pubmed-shuffled
132,offdomain,c4
133,offdomain,c4
134,good,pubmed
135,corrupt,pubmed-shuffled
136,offdomain,c4
137,corrupt,pubmed-shuffled
138,good,pubmed
139,corrupt,pubmed-shuffled
140,corrupt,pubmed-shuffled
141,corrupt,pubmed-shuffled
142,good,pubmed
143,good,pubmed
144,corrupt,pubmed-shuffled
145,corrupt,pubmed-shuffled
146,offdomain,c4
147,offdomain,c4
148,good,pubmed
149,corrupt,pubmed-shuffled
150,good,pubmed
151,good,pubmed
152,offdomain,c4
153,good,pubmed
154,good,pubmed
155,offdomain,c4
156,good,pubmed
157,good,pubmed
158,good,pubmed
159,offdomain,c4
160,corrupt,pubmed-shuffled
161,offdomain,c4
162,good,pubmed
163,offdomain,c4
164,good,pubmed
165,corrupt,pubmed-shuffled
166,offdomain,c4
167,offdomain,c4
168,good,pubmed
169,good,pubmed
170,good,pubmed
171,good,pubmed
172,good,pubmed
173,corrupt,pubmed-shuffled
174,good,pubmed
175,offdomain,c4
176,good,pubmed
177,offdomain,c4
178,corrupt,pubmed-shuffled
179,corrupt,pubmed-shuffled
180,good,pubmed
181,corrupt,pubmed-shuffled
182,offdomain,c4
183,good,pubmed
184,good,pubmed
185,offdomain,c4
186,offdomain,c4
187,offdomain,c4
188,offdomain,c4
189,offdomain,c4
190,good,pubmed
191,good,pubmed
192,offdomain,c4
193,good,pubmed
194,offdomain,c4
195,corrupt,pubmed-shuffled
196,corrupt,pubmed-shuffled
197,offdomain,c4
198,offdomain,c4
199,offdomain,c4
200,corrupt,pubmed-shuffled
201,good,pubmed
202,good,pubmed
203,good,pubmed
204,offdomain,c4
205,offdomain,c4
206,offdomain,c4
207,offdomain,c4
208,offdomain,c4
209,offdomain,c4
210,good,pubmed
211,offdomain,c4
212,corrupt,pubmed-shuffled
213,offdomain,c4
214,corrupt,pubmed-shuffled
215,good,pubmed
216,good,pubmed
217,offdomain,c4
218,good,pubmed
219,offdomain,c4
220,offdomain,c4
221,corrupt,pubmed-shuffled
222,offdomain,c4
223,good,pubmed
224,offdomain,c4
225,corrupt,pubmed-shuffled
226,good,pubmed
227,good,pubmed
228,good,pubmed
229,good,pubmed
230,offdomain,c4
231,good,pubmed
232,good,pubmed
233,offdomain,c4
234,good,pubmed
235,good,pubmed
236,corrupt,pubmed-shuffled
237,corrupt,pubmed-shuffled
238,good,pubmed
239,good,pubmed
240,offdomain,c4
241,offdomain,c4
242,offdomain,c4
243,offdomain,c4
244,offdomain,c4
245,offdomain,c4
246,good,pubmed
247,offdomain,c4
248,good,pubmed
249,good,pubmed
250,good,pubmed
251,offdomain,c4
